norms,entropies
209.1253998901604,1914.953348891136
209.5060734655555,1915.0452638131956
208.68247521368815,1914.5791827291089
209.0819298575634,1914.1669779768667
208.1498961348982,1913.6641902502363
209.00210445541302,1915.035865679415
209.31550417129284,1915.1004783778608
209.33147670511295,1915.0439095316033
209.3221685208885,1916.6258483269523
209.20785349006786,1915.5890465736122
208.82494133095383,1915.0054081209569
208.92164110639743,1914.4617062111681
208.7484358775199,1913.3373526218547
208.87984093415105,1913.706985915859
208.4237073387853,1914.7971192572506
208.66362308662193,1915.4440236094472
209.112860263234,1913.5691961773045
209.60334930464677,1914.4094577998296
208.95489018241196,1915.5043062683892
208.99440931800206,1913.0681175811105
209.1025457279711,1915.9623096137243
209.06146016444902,1916.0080613138043
208.64146553849181,1914.2315364017536
208.6800927975467,1914.746649209395
208.9021649187348,1914.0435965204338
208.8066549688309,1914.0882418226986
209.55800004238398,1915.7773267904904
209.5667847087414,1914.8756528830386
209.28467326988076,1914.336183414473
208.6271525122955,1913.7946489914173
208.6684464122844,1914.4711816101933
208.8877662083647,1914.8068430978783
209.15890243182096,1914.5604049073188
209.43834070504926,1916.8769776735005
209.3406920571761,1917.2017355830465
208.94001310379093,1915.6636313555496
208.61973155282612,1913.525838995716
208.82011086889761,1914.6440661871918
209.36820714411715,1915.0463271538742
209.01649344801555,1914.9777670212218
208.91076379268856,1914.8835977226609
208.5137128115663,1912.4727412505454
208.44792806198743,1913.3354452266992
209.07275619131374,1913.637913974359
208.64602351870076,1915.066815607838
209.06591918199143,1913.8877116257208
208.9520247344047,1915.6098101091852
209.17872230550162,1915.1555998005426
209.0572185968243,1914.7721744406988
209.45680755492992,1915.242243479646
208.94556347767283,1915.2858215671852
208.82776464866333,1913.3061119115544
208.77086502853948,1914.1635874393587
209.14190917803538,1914.842634609943
208.9430278268067,1915.5230946849476
209.15943477119876,1913.2589749431265
209.16210364595858,1914.7604279100533
208.90765156113198,1914.74792454091
209.07287927404246,1915.6240478999218
208.96400199742772,1915.4099924717575
208.87710034767383,1914.3748277034106
208.558296832483,1914.454143824888
208.9796532382321,1913.835958925507
209.35119166444744,1914.6895553978343
208.77464253179107,1915.1718999341326
209.15122866869936,1914.2561556269218
209.25498662860605,1915.8111000385818
209.00832881457563,1914.7781664356764
208.9157181513641,1913.802617277602
209.1362474753129,1914.3261129698992
209.2788527082701,1916.2255437924707
209.01531493273865,1915.0859141248973
209.135193077378,1913.4956014741933
208.76018426866165,1915.2354181713106
209.53988190536907,1917.0276790919218
209.21968568169575,1914.307477527316
208.8082119657073,1913.689453180686
209.1000752561231,1914.9555720285746
208.96798055103366,1914.6871931867017
208.98523322956126,1914.939945639164
209.25099880360818,1912.8231509947684
208.7046719482429,1914.252149129812
208.91574725978757,1913.9410525982612
209.07768372175948,1915.1552715845928
208.93474442708583,1914.8310677714326
208.74140488067286,1915.1236702763454
209.1454736959743,1914.0884829556173
209.27422645966126,1915.4971449513384
208.67527778640013,1914.6748755353433
208.9510457957775,1915.080381331251
209.13680384669644,1914.8821168239438
208.99482076327445,1913.0818285101532
208.91344803746634,1914.6695056535807
209.0485869700507,1914.3135396754014
209.18652864559064,1915.127663684066
208.61204472337099,1914.5723285432437
209.1617416156021,1914.2287854508165
208.85196157415348,1914.217071111733
209.06775943505326,1914.5262728000966
209.34698835447682,1914.678285350249
208.94238847533066,1915.004513219984
208.61840996279471,1913.165524969252
209.20525090300413,1914.306135832879
209.27598829480561,1917.1663115572603
208.64638565155659,1914.202948971011
209.39234712015366,1915.3643923265547
208.4411324627203,1913.8697528892922
208.81091200106582,1914.642614959463
209.20193728904212,1915.492377525166
209.2078953349431,1915.5021501547274
208.96690393798957,1915.759766878403
209.14723208314072,1915.5031799420165
209.15788042710534,1916.016855555883
209.18522920030105,1915.6096895882174
208.64436869723534,1914.9835857933228
208.87302095631935,1914.6580195305985
209.31999704230813,1914.9858732636108
209.19599642324272,1914.880877299293
208.92245785536724,1914.796155103122
208.96013590258303,1914.4580484836642
208.3004300558487,1913.3657264772512
209.2882221794871,1913.8553094040033
208.9567263426376,1913.8466374939471
209.127383802622,1914.3098195428197
209.14057240795933,1915.0061967159108
208.8071051174782,1914.4661635885163
208.5346058143987,1913.0788830708802
209.26494792290956,1915.4407097322046
209.2988315840426,1914.98172424614
208.65353372157054,1914.8039771767856
209.3145366235214,1914.4103655659635
209.0438015666498,1914.6206257968756
